Age,Department,Education,JobRole,YearsExperience,MonthlyIncome,TrainingCount,WorkLifeBalance,JobSatisfaction,OverTime,PerformanceRating
48,IT,MBA,Data Analyst,7,72807,6,1,1,0,1
35,Finance,Bachelors,Finance Analyst,2,39465,2,1,2,1,2
32,Finance,Bachelors,Finance Analyst,8,79822,6,2,3,0,3
37,HR,MBA,HR Executive,14,75436,6,4,3,1,3
53,Operations,Masters,Operations Manager,11,95650,1,2,4,0,1
48,Sales,Bachelors,Sales Manager,6,40223,1,1,1,0,1
30,HR,MBA,HR Executive,5,97662,5,3,2,1,2
36,IT,Masters,Data Scientist,1,59288,6,4,2,0,2
41,Operations,Bachelors,Operations Executive,1,54313,3,2,2,0,2
23,Sales,MBA,Sales Manager,2,67165,1,3,2,0,2
37,HR,Masters,HR Manager,16,109122,5,3,4,0,3
56,Operations,Diploma,Operations Executive,8,82916,6,4,2,1,2
55,HR,Bachelors,HR Manager,24,66119,3,4,1,1,1
35,Operations,MBA,Operations Manager,11,93933,2,1,4,0,1
56,Operations,Bachelors,Operations Manager,26,95838,3,3,2,0,2
55,Sales,Bachelors,Sales Executive,25,103323,4,3,2,1,2
46,Operations,Diploma,Operations Executive,1,34908,3,2,3,1,1
45,Operations,MBA,Operations Manager,6,81273,2,4,2,1,2
47,IT,Masters,Data Analyst,3,34676,3,1,4,1,3
45,Sales,MBA,Sales Executive,3,110717,4,1,2,1,2
26,Sales,Masters,Sales Executive,1,103025,4,1,2,1,2
45,Operations,Masters,Operations Executive,12,68108,3,4,3,0,3
40,Finance,Diploma,Finance Analyst,11,24285,3,1,1,0,1
39,Sales,Masters,Sales Manager,5,72827,5,3,4,1,3
25,Sales,MBA,Sales Manager,4,69367,6,4,1,0,1
46,Finance,Masters,Accountant,24,92161,3,4,3,1,3
31,IT,Diploma,System Analyst,10,34063,4,1,4,1,3
51,Finance,Bachelors,Accountant,25,72491,6,4,2,0,2
35,Finance,MBA,Finance Analyst,5,81360,4,1,4,1,3
31,IT,Masters,Data Scientist,0,92579,1,2,2,0,2
54,Finance,Masters,Finance Analyst,27,34330,4,1,4,1,3
58,IT,Masters,Data Scientist,33,110050,5,2,4,0,3
26,IT,Masters,System Analyst,3,21949,5,1,1,1,1
31,IT,Masters,System Analyst,3,108996,3,3,2,1,2
50,Operations,Diploma,Operations Executive,8,28312,4,3,1,1,1
53,HR,Masters,HR Executive,1,63146,6,1,1,1,1
26,HR,Masters,HR Executive,2,89549,6,1,1,1,1
37,Finance,Bachelors,Accountant,6,63959,4,3,1,1,1
54,Operations,Diploma,Operations Executive,11,79335,5,2,1,1,1
52,Finance,Masters,Finance Analyst,12,59802,1,3,4,1,1
22,Operations,Diploma,Operations Executive,1,50728,4,3,2,1,2
39,IT,Diploma,Software Engineer,5,63971,4,1,3,1,3
31,IT,MBA,Data Analyst,8,111043,6,2,1,1,1
58,HR,Diploma,HR Manager,4,93998,5,1,4,0,3
44,Sales,MBA,Sales Executive,5,61207,6,3,3,0,3
54,Operations,Bachelors,Operations Executive,26,61583,3,1,3,1,3
53,Sales,Bachelors,Sales Executive,26,32152,4,4,2,0,2
58,Finance,MBA,Finance Analyst,15,70484,1,1,3,1,1
55,Sales,Bachelors,Sales Executive,2,79256,6,3,3,1,1
47,IT,Masters,System Analyst,22,39469,3,4,1,0,1
40,Operations,MBA,Operations Executive,13,83688,4,1,1,1,1
51,Operations,MBA,Operations Manager,9,21529,3,1,2,0,2
46,IT,Diploma,Data Analyst,7,100898,3,4,1,0,1
57,Sales,Diploma,Sales Executive,23,60341,5,4,1,0,1
23,IT,Diploma,Data Scientist,2,28691,1,2,3,0,1
24,Operations,Masters,Operations Manager,3,62934,2,2,4,0,1
33,Sales,Diploma,Sales Executive,12,115415,2,3,1,1,1
36,Sales,MBA,Sales Manager,8,28760,1,3,2,1,2
57,Sales,Bachelors,Sales Executive,32,47342,6,1,1,0,1
56,Operations,Diploma,Operations Executive,12,21675,5,4,3,0,3
40,Operations,Masters,Operations Executive,19,50393,1,3,1,0,1
33,Finance,Diploma,Finance Analyst,9,51639,6,3,4,1,3
58,Finance,MBA,Finance Analyst,9,88704,2,1,2,0,2
48,HR,Masters,HR Manager,26,32985,2,3,2,0,2
36,Finance,Masters,Accountant,0,84073,1,2,3,0,1
50,Sales,Bachelors,Sales Manager,7,49223,2,2,2,0,2
52,IT,Diploma,Data Scientist,19,112218,5,3,2,0,2
54,IT,Masters,Data Scientist,27,33928,5,1,3,1,3
49,Finance,MBA,Finance Analyst,15,59005,3,3,3,1,3
48,Sales,MBA,Sales Manager,10,87236,1,2,1,1,1
58,HR,Masters,HR Manager,11,56976,4,3,3,1,3
35,IT,MBA,Data Scientist,5,91478,4,2,1,1,1
22,HR,MBA,HR Manager,0,66744,1,1,1,1,1
48,Finance,MBA,Accountant,23,80796,4,3,4,0,3
45,HR,Bachelors,HR Manager,16,87827,2,2,4,1,1
40,IT,Diploma,Data Scientist,17,119820,6,4,3,0,3
22,Finance,Bachelors,Accountant,1,25426,1,2,3,0,1
47,HR,Masters,HR Manager,19,30843,5,3,4,0,3
25,Finance,Diploma,Accountant,4,93581,6,1,1,1,1
46,Operations,Masters,Operations Executive,23,76438,5,3,4,0,3
58,HR,Bachelors,HR Executive,2,55776,4,3,3,0,1
53,Finance,Masters,Accountant,5,29785,5,4,2,1,2
37,Finance,Masters,Finance Analyst,2,88851,5,2,1,0,1
34,Operations,Bachelors,Operations Manager,7,31845,1,2,2,1,2
24,Sales,Diploma,Sales Manager,1,101104,5,1,2,0,2
34,IT,Bachelors,System Analyst,5,38365,1,2,3,0,1
34,Sales,MBA,Sales Manager,6,92097,5,1,2,0,2
49,HR,Diploma,HR Manager,2,93134,4,1,1,1,1
25,Sales,Bachelors,Sales Manager,4,98030,6,4,2,1,2
45,Finance,Bachelors,Finance Analyst,7,75867,4,3,1,1,1
29,IT,Masters,Software Engineer,8,82656,5,3,4,0,3
56,Operations,MBA,Operations Manager,1,77713,2,2,2,1,2
42,Operations,Masters,Operations Executive,7,40439,5,1,1,1,1
25,Sales,Masters,Sales Executive,0,39172,1,3,1,1,1
49,Operations,Masters,Operations Manager,28,49570,2,2,4,0,1
48,IT,MBA,Software Engineer,0,43935,2,3,3,0,1
38,IT,MBA,Data Analyst,9,54866,3,3,3,1,3
26,Finance,Masters,Accountant,0,99741,5,4,1,0,1
39,Operations,Diploma,Operations Manager,6,46340,3,2,1,0,1
29,HR,MBA,HR Executive,4,75243,1,2,4,0,1
26,Operations,Diploma,Operations Executive,3,29755,3,2,4,1,3
47,IT,Diploma,System Analyst,0,109994,2,1,1,1,1
49,HR,MBA,HR Executive,0,66470,4,3,3,1,1
51,Operations,Bachelors,Operations Manager,15,24382,4,1,4,0,3
24,IT,Bachelors,System Analyst,0,64620,4,2,3,0,1
48,Operations,Masters,Operations Executive,5,70974,1,4,3,1,1
40,Finance,Masters,Finance Analyst,15,45720,5,4,1,0,1
22,IT,Bachelors,Data Analyst,0,116751,5,1,2,0,2
29,Finance,Masters,Finance Analyst,0,77007,6,3,1,1,1
44,HR,Bachelors,HR Manager,10,77869,2,1,4,0,1
41,IT,Bachelors,Software Engineer,13,52513,6,3,2,1,2
39,Finance,Diploma,Finance Analyst,15,73725,4,1,2,1,2
39,HR,Masters,HR Manager,13,68914,6,1,4,0,3
49,Operations,Masters,Operations Manager,6,29004,1,3,1,1,1
46,Operations,Bachelors,Operations Executive,12,108785,4,4,3,1,3
39,Operations,MBA,Operations Executive,12,56591,4,2,3,0,3
55,Finance,Diploma,Accountant,5,78055,3,2,1,1,1
34,Finance,MBA,Accountant,1,97595,1,1,1,0,1
41,Sales,MBA,Sales Manager,18,26014,2,3,4,0,1
43,Finance,Diploma,Finance Analyst,7,56670,5,2,2,0,2
33,HR,Diploma,HR Executive,11,65877,2,1,1,0,1
53,Operations,MBA,Operations Executive,24,54990,6,1,4,0,3
44,Finance,Diploma,Accountant,5,51349,6,1,3,1,3
50,Finance,Diploma,Finance Analyst,20,116572,2,3,3,1,1
37,Sales,MBA,Sales Executive,14,60351,6,1,2,1,2
25,HR,Diploma,HR Manager,3,91659,3,3,1,0,1
49,Sales,Masters,Sales Executive,22,27684,3,3,3,1,3
30,Operations,MBA,Operations Executive,7,89989,6,1,1,1,1
53,IT,Bachelors,Software Engineer,16,32274,1,4,1,0,1
43,HR,MBA,HR Manager,20,47669,5,1,3,0,3
56,Operations,Masters,Operations Executive,10,85206,4,2,2,1,2
53,Operations,MBA,Operations Executive,5,37960,4,3,3,1,3
26,IT,Bachelors,Software Engineer,2,104664,2,3,3,1,1
